epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,303.579,1.79361,1.812,0.96608,0.57849,0.42424,0.44152,0.25054,1.81408,1.84313,0.95711,0.00117203,0.00117203,0.00117203
42,312.636,2.17185,1.88082,0.98238,0.57849,0.42424,0.44152,0.25054,1.81408,1.84313,0.95711,0.00119641,0.00119641,0.00119641
43,322.227,2.06406,1.88733,0.99743,0.57849,0.42424,0.44152,0.25054,1.81408,1.84313,0.95711,0.00122056,0.00122056,0.00122056
44,330.996,2.30773,2.12723,1.05272,0.57849,0.42424,0.44152,0.25054,1.81408,1.84313,0.95711,0.00124449,0.00124449,0.00124449
45,343.619,2.66019,2.27244,1.00537,0.57849,0.42424,0.44152,0.25054,1.81408,1.84313,0.95711,0.00126821,0.00126821,0.00126821
46,353.776,1.67596,1.8155,0.94363,0.57849,0.42424,0.44152,0.25054,1.81408,1.84313,0.95711,0.0012917,0.0012917,0.0012917
47,366.864,2.02713,1.85785,1.00671,0.57849,0.42424,0.44152,0.25054,1.81408,1.84313,0.95711,0.00131497,0.00131497,0.00131497
48,375.694,1.86255,1.78985,1.01602,0.57849,0.42424,0.44152,0.25054,1.81408,1.84313,0.95711,0.00133803,0.00133803,0.00133803
49,383.759,1.89102,1.93602,0.99207,0.57849,0.42424,0.44152,0.25054,1.81408,1.84313,0.95711,0.00136086,0.00136086,0.00136086
50,392.602,1.82127,1.88496,0.98496,0.57849,0.42424,0.44152,0.25054,1.81408,1.84313,0.95711,0.00138347,0.00138347,0.00138347
51,400.862,2.411,3.42537,1.14637,0.57849,0.42424,0.44152,0.25054,1.81408,1.84313,0.95711,0.00139195,0.00139195,0.00139195
52,409.217,2.24,2.52493,1.13743,0.57849,0.42424,0.44152,0.25054,1.81408,1.84313,0.95711,0.00138644,0.00138644,0.00138644
53,417.189,1.6368,1.69395,0.9314,0.57849,0.42424,0.44152,0.25054,1.81408,1.84313,0.95711,0.00138094,0.00138094,0.00138094
54,424.749,2.18868,2.53668,1.10354,0.57849,0.42424,0.44152,0.25054,1.81408,1.84313,0.95711,0.00137544,0.00137544,0.00137544
55,432.68,2.40602,2.04615,1.00975,0.57849,0.42424,0.44152,0.25054,1.81408,1.84313,0.95711,0.00136994,0.00136994,0.00136994
56,441.084,2.05595,1.86384,1.02732,0.57682,0.54545,0.54196,0.28238,1.7151,4.46473,0.95002,0.00136444,0.00136444,0.00136444
57,449.407,2.65561,2.08969,1.0011,0.57682,0.54545,0.54196,0.28238,1.7151,4.46473,0.95002,0.00135894,0.00135894,0.00135894
58,457.469,2.13705,1.89774,0.97003,0.57682,0.54545,0.54196,0.28238,1.7151,4.46473,0.95002,0.00135344,0.00135344,0.00135344
59,465.309,1.69993,1.63984,0.93781,0.57682,0.54545,0.54196,0.28238,1.7151,4.46473,0.95002,0.00134794,0.00134794,0.00134794
60,473.262,1.52362,1.64529,0.98844,0.57682,0.54545,0.54196,0.28238,1.7151,4.46473,0.95002,0.00134244,0.00134244,0.00134244
61,481.119,1.51795,1.65414,0.91121,0.57682,0.54545,0.54196,0.28238,1.7151,4.46473,0.95002,0.00133693,0.00133693,0.00133693
62,489.019,2.27087,2.90003,0.94796,0.57682,0.54545,0.54196,0.28238,1.7151,4.46473,0.95002,0.00133143,0.00133143,0.00133143
63,496.782,1.85417,1.73583,0.96755,0.57682,0.54545,0.54196,0.28238,1.7151,4.46473,0.95002,0.00132593,0.00132593,0.00132593
64,504.923,2.06178,1.95255,0.96909,0.57682,0.54545,0.54196,0.28238,1.7151,4.46473,0.95002,0.00132043,0.00132043,0.00132043
65,513.143,2.46,1.94387,0.98547,0.57682,0.54545,0.54196,0.28238,1.7151,4.46473,0.95002,0.00131493,0.00131493,0.00131493
66,521.271,2.26185,1.89289,1.00063,0.57682,0.54545,0.54196,0.28238,1.7151,4.46473,0.95002,0.00130943,0.00130943,0.00130943
67,530.123,2.28352,1.86314,0.97372,0.57682,0.54545,0.54196,0.28238,1.7151,4.46473,0.95002,0.00130393,0.00130393,0.00130393
68,539.801,1.58045,1.69687,0.93041,0.57682,0.54545,0.54196,0.28238,1.7151,4.46473,0.95002,0.00129843,0.00129843,0.00129843
69,548.85,2.09327,1.86203,1.00612,0.57682,0.54545,0.54196,0.28238,1.7151,4.46473,0.95002,0.00129293,0.00129293,0.00129293
70,557.67,1.86861,1.67713,0.97627,0.57682,0.54545,0.54196,0.28238,1.7151,4.46473,0.95002,0.00128742,0.00128742,0.00128742
71,565.418,1.90115,2.18873,0.96891,0.57682,0.54545,0.54196,0.28238,1.7151,4.46473,0.95002,0.00128192,0.00128192,0.00128192
72,573.484,2.17828,1.78563,0.98598,0.62635,0.63636,0.69206,0.36306,1.63671,4.29965,0.93729,0.00127642,0.00127642,0.00127642
73,581.675,2.00895,1.73812,0.94919,0.62635,0.63636,0.69206,0.36306,1.63671,4.29965,0.93729,0.00127092,0.00127092,0.00127092
74,589.666,1.63916,1.6094,0.97231,0.62635,0.63636,0.69206,0.36306,1.63671,4.29965,0.93729,0.00126542,0.00126542,0.00126542
75,597.951,2.00974,1.77098,0.95903,0.62635,0.63636,0.69206,0.36306,1.63671,4.29965,0.93729,0.00125992,0.00125992,0.00125992
76,606.634,1.96278,1.67881,0.96524,0.62635,0.63636,0.69206,0.36306,1.63671,4.29965,0.93729,0.00125442,0.00125442,0.00125442
77,616.053,2.04618,1.85682,0.95132,0.62635,0.63636,0.69206,0.36306,1.63671,4.29965,0.93729,0.00124892,0.00124892,0.00124892
78,624.443,1.89585,1.68261,0.95382,0.62635,0.63636,0.69206,0.36306,1.63671,4.29965,0.93729,0.00124342,0.00124342,0.00124342
79,632.811,1.906,3.08361,1.09046,0.62635,0.63636,0.69206,0.36306,1.63671,4.29965,0.93729,0.00123791,0.00123791,0.00123791
80,641.157,2.43111,1.98174,0.96015,0.62635,0.63636,0.69206,0.36306,1.63671,4.29965,0.93729,0.00123241,0.00123241,0.00123241
81,648.869,1.69492,1.87216,0.97855,0.62635,0.63636,0.69206,0.36306,1.63671,4.29965,0.93729,0.00122691,0.00122691,0.00122691
82,656.764,2.3964,1.91916,0.98836,0.62635,0.63636,0.69206,0.36306,1.63671,4.29965,0.93729,0.00122141,0.00122141,0.00122141
83,664.524,1.55116,1.61811,0.95126,0.62635,0.63636,0.69206,0.36306,1.63671,4.29965,0.93729,0.00121591,0.00121591,0.00121591
84,672.73,2.12863,2.18909,1.07095,0.62635,0.63636,0.69206,0.36306,1.63671,4.29965,0.93729,0.00121041,0.00121041,0.00121041
85,681.245,1.8527,1.72253,0.95311,0.62635,0.63636,0.69206,0.36306,1.63671,4.29965,0.93729,0.00120491,0.00120491,0.00120491
86,689.273,2.10771,2.15791,0.94309,0.62635,0.63636,0.69206,0.36306,1.63671,4.29965,0.93729,0.00119941,0.00119941,0.00119941
87,698.004,1.83819,1.71589,0.9508,0.62635,0.63636,0.69206,0.36306,1.63671,4.29965,0.93729,0.00119391,0.00119391,0.00119391
88,706.241,1.80532,1.77338,0.96711,0.78119,0.65657,0.77226,0.46833,1.49286,2.5108,0.91981,0.0011884,0.0011884,0.0011884
89,714.045,1.57445,1.8116,0.95751,0.78119,0.65657,0.77226,0.46833,1.49286,2.5108,0.91981,0.0011829,0.0011829,0.0011829
90,721.956,1.46442,1.47696,0.94709,0.78119,0.65657,0.77226,0.46833,1.49286,2.5108,0.91981,0.0011774,0.0011774,0.0011774
91,730.963,1.78595,1.58415,0.93993,0.78119,0.65657,0.77226,0.46833,1.49286,2.5108,0.91981,0.0011719,0.0011719,0.0011719
92,739.331,1.54526,1.67027,0.97961,0.78119,0.65657,0.77226,0.46833,1.49286,2.5108,0.91981,0.0011664,0.0011664,0.0011664
93,747.736,1.68698,1.50357,0.94559,0.78119,0.65657,0.77226,0.46833,1.49286,2.5108,0.91981,0.0011609,0.0011609,0.0011609
94,755.573,1.59348,1.50058,0.91153,0.78119,0.65657,0.77226,0.46833,1.49286,2.5108,0.91981,0.0011554,0.0011554,0.0011554
95,763.266,1.43653,1.78744,0.92083,0.78119,0.65657,0.77226,0.46833,1.49286,2.5108,0.91981,0.0011499,0.0011499,0.0011499
96,771.063,1.7482,1.5502,0.9426,0.78119,0.65657,0.77226,0.46833,1.49286,2.5108,0.91981,0.0011444,0.0011444,0.0011444
97,778.872,2.05647,1.64977,0.93159,0.78119,0.65657,0.77226,0.46833,1.49286,2.5108,0.91981,0.00113889,0.00113889,0.00113889
98,786.996,1.89814,1.63272,0.90972,0.78119,0.65657,0.77226,0.46833,1.49286,2.5108,0.91981,0.00113339,0.00113339,0.00113339
99,794.986,1.82665,1.58402,0.94,0.78119,0.65657,0.77226,0.46833,1.49286,2.5108,0.91981,0.00112789,0.00112789,0.00112789
100,803.71,1.4496,1.4129,0.9169,0.78119,0.65657,0.77226,0.46833,1.49286,2.5108,0.91981,0.00112239,0.00112239,0.00112239
101,812.664,1.70309,1.71464,0.91953,0.78119,0.65657,0.77226,0.46833,1.49286,2.5108,0.91981,0.00111689,0.00111689,0.00111689
102,820.335,1.51631,1.48355,0.89503,0.78119,0.65657,0.77226,0.46833,1.49286,2.5108,0.91981,0.00111139,0.00111139,0.00111139
103,828.267,1.86622,1.64304,0.95593,0.78119,0.65657,0.77226,0.46833,1.49286,2.5108,0.91981,0.00110589,0.00110589,0.00110589
104,836.094,1.67761,1.65974,0.9287,0.90809,0.63636,0.79893,0.53201,1.32974,1.78958,0.88903,0.00110039,0.00110039,0.00110039
105,843.974,1.70037,1.72366,0.98306,0.90809,0.63636,0.79893,0.53201,1.32974,1.78958,0.88903,0.00109489,0.00109489,0.00109489
106,851.95,2.58734,1.89341,0.96825,0.90809,0.63636,0.79893,0.53201,1.32974,1.78958,0.88903,0.00108938,0.00108938,0.00108938
107,860.187,1.5635,1.76322,0.8953,0.90809,0.63636,0.79893,0.53201,1.32974,1.78958,0.88903,0.00108388,0.00108388,0.00108388
108,867.926,1.48764,1.58071,0.94635,0.90809,0.63636,0.79893,0.53201,1.32974,1.78958,0.88903,0.00107838,0.00107838,0.00107838
109,875.652,1.6493,1.55606,0.91613,0.90809,0.63636,0.79893,0.53201,1.32974,1.78958,0.88903,0.00107288,0.00107288,0.00107288
110,883.563,1.82091,1.44377,0.92667,0.90809,0.63636,0.79893,0.53201,1.32974,1.78958,0.88903,0.00106738,0.00106738,0.00106738
111,891.265,1.65778,1.61698,0.89656,0.90809,0.63636,0.79893,0.53201,1.32974,1.78958,0.88903,0.00106188,0.00106188,0.00106188
112,898.912,1.38846,1.32313,0.88931,0.90809,0.63636,0.79893,0.53201,1.32974,1.78958,0.88903,0.00105638,0.00105638,0.00105638
113,907.082,1.38226,1.47926,0.95154,0.90809,0.63636,0.79893,0.53201,1.32974,1.78958,0.88903,0.00105088,0.00105088,0.00105088
114,916.614,1.43616,1.56908,0.94987,0.90809,0.63636,0.79893,0.53201,1.32974,1.78958,0.88903,0.00104538,0.00104538,0.00104538
115,925.885,1.36334,1.35026,0.88715,0.90809,0.63636,0.79893,0.53201,1.32974,1.78958,0.88903,0.00103987,0.00103987,0.00103987
116,935.177,1.60828,1.43366,0.91292,0.90809,0.63636,0.79893,0.53201,1.32974,1.78958,0.88903,0.00103437,0.00103437,0.00103437
117,944.979,1.55493,1.8653,0.97722,0.90809,0.63636,0.79893,0.53201,1.32974,1.78958,0.88903,0.00102887,0.00102887,0.00102887
118,955.494,1.35326,1.57313,0.92833,0.90809,0.63636,0.79893,0.53201,1.32974,1.78958,0.88903,0.00102337,0.00102337,0.00102337
119,964.905,1.60356,1.44134,0.9208,0.90809,0.63636,0.79893,0.53201,1.32974,1.78958,0.88903,0.00101787,0.00101787,0.00101787
120,973.542,1.13762,1.51544,0.87817,0.83215,0.72727,0.82341,0.53937,1.2852,1.56034,0.87533,0.00101237,0.00101237,0.00101237
121,981.884,1.68096,1.88919,0.89707,0.83215,0.72727,0.82341,0.53937,1.2852,1.56034,0.87533,0.00100687,0.00100687,0.00100687
122,990.389,1.4108,1.35423,0.90673,0.83215,0.72727,0.82341,0.53937,1.2852,1.56034,0.87533,0.00100137,0.00100137,0.00100137
